wfarm_id,Longitude,Latitude,reeds_region,Depth,Dist_S_to_L,Hs_Average,NCF,LCOE,type_min_lcoe,capacity,isfixed,State,LACE,Net value,Wind speed
3887,-70.2266,41.4266,349,10.55,2.17,0.59,0.57,76,Monopile,0.22,TRUE,Massachusetts,93,17,9.0 - 9.5
4787,-68.4386,43.8616,356,120.78,3.70,0.94,0.60,77,Semi,0.28,FALSE,Maine,93,16,9.5 - 10.0
7944,-86.5000,43.9387,212,16.73,0.00,0.65,0.53,77,Monopile,0.22,TRUE,Michigan,58,-19,8.5 - 9.0
3810,-70.6691,41.3097,349,18.01,0.00,0.36,0.58,77,Monopile,0.22,TRUE,Massachusetts,93,16,8.5 - 9.0
3886,-70.3519,41.4524,349,8.97,1.09,0.36,0.55,77,Monopile,0.22,TRUE,Massachusetts,93,16,8.5 - 9.0
4771,-68.4770,43.7690,356,149.23,8.92,1.05,0.61,78,Semi,0.28,FALSE,Maine,93,15,9.5 - 10.0
4801,-68.4000,43.9542,356,93.95,3.63,0.94,0.59,78,Semi,0.22,FALSE,Maine,93,15,9.0 - 9.5
3927,-70.0664,41.4935,349,10.29,8.57,0.70,0.57,78,Monopile,0.22,TRUE,Massachusetts,93,15,9.0 - 9.5
3888,-70.1014,41.4008,349,11.73,9.39,0.70,0.58,78,Monopile,0.22,TRUE,Massachusetts,93,15,9.0 - 9.5
4786,-68.5676,43.8892,356,94.92,6.13,0.94,0.60,78,Semi,0.22,FALSE,Maine,93,15,9.5 - 10.0
3926,-70.1918,41.5194,349,11.17,0.47,0.68,0.56,78,Monopile,0.22,TRUE,Massachusetts,93,15,9.0 - 9.5
4800,-68.5292,43.9819,356,71.04,3.42,0.94,0.59,78,Semi,0.22,FALSE,Maine,93,14,9.0 - 9.5
4894,-67.0964,44.3757,356,119.13,27.05,0.97,0.62,79,Semi,0.22,FALSE,Maine,93,14,9.5 - 10.0
4770,-68.6059,43.7966,356,119.10,11.63,0.95,0.60,79,Semi,0.22,FALSE,Maine,93,14,9.5 - 10.0
3811,-70.5461,41.2923,349,19.72,4.44,0.42,0.58,79,Monopile,0.22,TRUE,Massachusetts,93,14,9.0 - 9.5
3922,-70.6999,41.6212,348,9.26,0.00,0.38,0.54,79,Monopile,0.19,TRUE,Massachusetts,104,25,8.5 - 9.0
