longitude,latitude,depth,dist_to_land,avg_wave_height,ncf,lcoe,substructure,capacity,fixed_bottom,net_value,avg_wind_speed,score
-79.5421,26.383,768.36,37.03,0.87,0.36,148,Semi,0.28,False,-103.0,7.25,-37.08
-79.5249,26.4793,777.20,42.31,0.87,0.35,151,Semi,0.28,False,-106.0,6.75,-37.099999999999994
-79.6705,27.3197,570.79,13.8,1.24,0.34,147,Semi,0.28,False,-102.0,6.75,-34.68
-79.5959,27.2901,729.24,21.69,1.22,0.33,156,Semi,0.28,False,-111.0,6.75,-36.63
-79.968,27.45,92.52,24.98,1.1,0.36,133,Semi,0.28,False,-89.0,6.75,-32.04
-79.8807,27.4322,214.46,16.86,1.1,0.36,131,Semi,0.28,False,-86.0,7.25,-30.959999999999997
-79.7738,27.4157,383.30,7.29,1.14,0.36,131,Semi,0.28,False,-86.0,7.25,-30.959999999999997
-79.667,27.399,579.54,6.02,1.24,0.36,136,Semi,0.28,False,-92.0,7.25,-33.12
-79.5762,27.3848,739.04,14.81,1.24,0.36,141,Semi,0.28,False,-96.0,7.25,-34.56
-79.9689,27.5454,92.82,26.64,1.1,0.36,133,Semi,0.28,False,-88.0,6.75,-31.68
-79.8624,27.5286,241.83,17.12,1.1,0.36,131,Semi,0.28,False,-86.0,7.25,-30.959999999999997
-79.7554,27.512,413.80,6.34,1.16,0.36,130,Semi,0.28,False,-86.0,7.25,-30.959999999999997
-79.6484,27.4953,609.59,4.52,1.24,0.37,132,Semi,0.28,False,-88.0,7.25,-32.56
-79.5575,27.4811,747.04,13.6,1.24,0.37,137,Semi,0.28,False,-92.0,7.25,-34.04
-80.0336,27.6591,46.54,22.84,1.1,0.36,136,Jacket,0.28,True,-92.0,6.75,-33.12
-79.9512,27.6414,110.80,26.63,1.1,0.36,132,Semi,0.28,False,-88.0,7.25,-31.68
-79.844,27.6249,269.89,17.12,1.1,0.37,131,Semi,0.28,False,-86.0,7.25,-31.82
-79.7369,27.6083,435.00,6.34,1.19,0.37,130,Semi,0.28,False,-85.0,7.25,-31.45
-79.6298,27.5916,630.12,4.52,1.24,0.37,131,Semi,0.28,False,-87.0,7.25,-32.19
-80.0397,27.7545,48.52,22.08,1.19,0.36,132,Semi,0.28,False,-87.0,6.75,-31.32
-79.9329,27.7377,131.03,27.89,1.16,0.37,131,Semi,0.28,False,-87.0,7.25,-32.19
-79.8256,27.7212,295.38,18.88,1.13,0.37,130,Semi,0.28,False,-85.0,7.25,-31.45
-79.7184,27.7046,452.72,8.66,1.22,0.37,129,Semi,0.28,False,-85.0,7.25,-31.45
-79.6112,27.6879,662.46,6.94,1.24,0.37,134,Semi,0.28,False,-90.0,7.25,-33.3
-80.022,27.8504,57.68,28.15,1.26,0.36,133,Semi,0.28,False,-88.0,7.25,-31.68
-79.9146,27.834,156.41,32.75,1.26,0.37,132,Semi,0.28,False,-88.0,7.25,-32.56
-79.8072,27.8175,322.42,25.68,1.26,0.37,132,Semi,0.28,False,-88.0,7.25,-32.56
-79.6998,27.8009,487.11,17.67,1.39,0.37,134,Semi,0.28,False,-89.0,7.25,-32.93
-79.5925,27.7841,704.49,16.32,1.38,0.37,139,Semi,0.28,False,-94.0,7.25,-34.78
-80.104,27.9654,39.10,29.55,1.26,0.36,138,Jacket,0.28,True,-94.0,6.75,-33.839999999999996
-80.0038,27.9467,71.00,34.56,1.26,0.36,135,Semi,0.28,False,-90.0,7.25,-32.4
-79.8962,27.9303,184.81,37.84,1.26,0.37,135,Semi,0.28,False,-90.0,7.25,-33.3
-79.7887,27.9137,352.21,32.8,1.28,0.37,135,Semi,0.28,False,-91.0,7.25,-33.67
-79.6812,27.8971,531.03,27.1,1.4,0.37,138,Semi,0.28,False,-93.0,7.25,-34.41
-79.5737,27.8804,755.49,26.13,1.4,0.37,143,Semi,0.28,False,-98.0,7.25,-36.26
-79.4932,27.8677,765.58,30.37,1.4,0.36,146,Semi,0.33,False,-102.0,7.25,-36.72
-80.1974,28.0789,30.36,28.28,1.23,0.36,134,Jacket,0.28,True,-90.0,6.75,-32.4
-80.0932,28.0592,42.59,34.51,1.26,0.36,135,Semi,0.28,False,-90.0,7.25,-32.4
-79.9855,28.0429,88.92,40.03,1.26,0.37,135,Semi,0.28,False,-90.0,7.25,-33.3
-79.8778,28.0265,223.05,43.59,1.26,0.37,136,Semi,0.28,False,-92.0,7.25,-34.04
-79.7701,28.0099,392.07,40.42,1.3,0.37,139,Semi,0.28,False,-94.0,7.25,-34.78
-79.6625,27.9933,589.00,36.7,1.4,0.37,142,Semi,0.28,False,-98.0,7.25,-36.26
-79.555,27.9765,782.18,36.25,1.4,0.37,147,Semi,0.28,False,-102.0,7.25,-37.74
-79.4547,27.9651,732.23,40.46,1.4,0.37,147,Semi,0.33,False,-102.0,7.25,-37.74
-80.3958,28.2065,19.88,7.12,0.32,0.37,114,Monopile,0.28,True,-70.0,6.75,-25.9
-80.2908,28.1878,22.32,17.66,0.43,0.37,119,Monopile,0.28,True,-75.0,7.25,-27.75
-80.1829,28.1717,34.64,28.21,1.26,0.37,133,Jacket,0.28,True,-89.0,7.25,-32.93
-80.075,28.1555,49.08,36.57,1.26,0.37,131,Semi,0.28,False,-87.0,7.25,-32.19
-79.9671,28.1391,111.83,44.4,1.26,0.38,132,Semi,0.28,False,-88.0,7.25,-33.44
-79.8593,28.1227,255.58,50.12,1.26,0.37,137,Semi,0.28,False,-93.0,7.25,-34.41
-79.7515,28.1061,424.79,48.61,1.33,0.37,141,Semi,0.28,False,-97.0,7.25,-35.89
-79.6438,28.0895,644.26,46.52,1.4,0.36,148,Semi,0.28,False,-103.0,7.25,-37.08
-79.5361,28.0727,789.22,46.73,1.4,0.36,154,Semi,0.33,False,-110.0,7.25,-39.6
